Restaurant ID,Restaurant Name,Category,City,Area,Longitude,Latitude,Image,Min Price,Max Price
35,Koshary El Tahrir,Koshary,Alexandria,Stanley,29.902394,31.220097,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203204/SmartEgypt_Restaurants/hgsn8ium8vn3exp40zts.jpg,10,300
36,Tamara,Lebanese,Alexandria,Smouha,29.924985,31.19237,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203205/SmartEgypt_Restaurants/xlrgvpzovqv099mxjng3.jpg,30,1650
37,Crave,International,Alexandria,Montaza,29.900776,31.19004,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203205/SmartEgypt_Restaurants/mpl9gash0pv7nzv1o6if.jpg,61,1750
38,Butcher's Burger,Burgers,Alexandria,Smouha,29.909416,31.200404,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203206/SmartEgypt_Restaurants/ipireqrjenpkhxchp4aj.jpg,40,450
39,Cilantro,Cafe,Alexandria,Smouha,29.915939,31.190508,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203207/SmartEgypt_Restaurants/hc1ce99od4nitb6gmcza.jpg,59,165
40,Costa Coffee,Cafe,Alexandria,Stanley,29.92876,31.187403,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203208/SmartEgypt_Restaurants/s55i4xukhppvjiya7szw.jpg,40,220
41,The Lemon Tree,Mediterranean,Alexandria,Gleem,29.905778,31.188181,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203209/SmartEgypt_Restaurants/yual6empewxkz1ylxg8e.jpg,280,2780
42,Peking,Asian Cuisine,Alexandria,Smouha,29.915883,31.188248,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203209/SmartEgypt_Restaurants/gbsg5qi0phzjgi9iu7pc.jpg,40,556
43,Costa Coffee,Cafe,Alexandria,Stanley,29.934814,31.191519,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203210/SmartEgypt_Restaurants/yg6ms6vtnkmng724fqei.jpg,40,220
44,Peking,Asian Cuisine,Alexandria,Stanley,29.901361,31.195511,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203211/SmartEgypt_Restaurants/le6gurjrekyr3mf2xu3n.jpg,40,556
45,Chicken Fil-A,Fried Chicken,Alexandria,Montaza,29.920948,31.20386,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203211/SmartEgypt_Restaurants/fn2glvznqebnxebnwpzv.jpg,15,177
46,The Lemon Tree,Mediterranean,Alexandria,Smouha,29.913117,31.208714,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203212/SmartEgypt_Restaurants/v5ycl03h0vgdjgttqh9r.jpg,280,2780
47,Lucille’s,American Diner,Alexandria,Stanley,29.911587,31.204543,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203212/SmartEgypt_Restaurants/co4dtfvvu5zti8mdyhfv.jpg,45,832
48,Starbucks,Cafe,Alexandria,Sidi Gaber,29.92656,31.185085,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203213/SmartEgypt_Restaurants/la3l53kktbnidjpe3qip.jpg,20,1100
49,Maison Thomas,Italian,Alexandria,Montaza,29.911613,31.195815,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203214/SmartEgypt_Restaurants/dzdelz2bhbpmuekewenk.webp,47,740
50,Maison Thomas,Italian,Alexandria,Montaza,29.929416,31.207423,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203215/SmartEgypt_Restaurants/nv8vhowkasixgwljsf96.webp,47,740
51,Caracas,Lebanese,Alexandria,Gleem,29.92871,31.193937,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203216/SmartEgypt_Restaurants/zeqruk1rzgufik0yfd4x.jpg,62,550
52,Costa Coffee,Cafe,Alexandria,Sidi Gaber,29.918608,31.216664,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203216/SmartEgypt_Restaurants/e12fjigndudzf9unkakc.jpg,40,220
53,Buffalo Burger,Burgers,Alexandria,Smouha,29.938521,31.195985,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203217/SmartEgypt_Restaurants/wymdpgsu9swbq8ywyeyc.jpg,45,807
54,TBS,Bakery,Alexandria,Sidi Gaber,29.934206,31.181743,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203218/SmartEgypt_Restaurants/bzjgvdgmccalpisewhzi.jpg,40,1310
55,Starbucks,Cafe,Alexandria,Stanley,29.916523,31.187917,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203219/SmartEgypt_Restaurants/fisdkgv2fnwm3dzhsyc6.jpg,20,1100
56,Paul,Bakery,Alexandria,Smouha,29.900852,31.216647,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203220/SmartEgypt_Restaurants/t7hpzqxl3liffzrpnpcz.jpg,39,1099
57,Peking,Asian Cuisine,Alexandria,Gleem,29.914183,31.199586,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203221/SmartEgypt_Restaurants/o4ha8lio3qk7nkwyhb9x.jpg,40,556
58,Gaby’s,European,Alexandria,Sidi Gaber,29.906771,31.212156,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203222/SmartEgypt_Restaurants/zthqidz8mi7qxdminih3.jpg,45,1083
59,Costa Coffee,Cafe,Alexandria,Gleem,29.919008,31.186884,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203222/SmartEgypt_Restaurants/ihbqbrrna3aryyrguiis.jpg,40,220
60,Sizzler,Steakhouse,Alexandria,Stanley,29.907641,31.212362,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203223/SmartEgypt_Restaurants/jz4reoitauk44zoymaie.jpg,60,800
61,Koshary El Tahrir,Koshary,Alexandria,Gleem,29.932707,31.195983,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203224/SmartEgypt_Restaurants/cozazwxnmlp7dda28abm.jpg,10,300
62,Koshary El Tahrir,Koshary,Alexandria,Stanley,29.900907,31.198121,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203225/SmartEgypt_Restaurants/qjfqswt618e4zjg2lh19.jpg,10,300
63,Abou Haidar,Sandwiches,Alexandria,Montaza,29.9081,31.182993,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203225/SmartEgypt_Restaurants/el6rwzlt34syxgmskibz.jpg,10,330
64,Mori Sushi,Asian Cuisine,Alexandria,Montaza,29.899629,31.219197,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203226/SmartEgypt_Restaurants/doph7kkompidnyrfcxnx.jpg,42,1725
65,Qahwa,Cafe,Alexandria,Stanley,29.912242,31.205621,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203227/SmartEgypt_Restaurants/ipnxcoibdi1jumn0njsx.png,72,815
66,Buffalo Burger,Burgers,Alexandria,Montaza,29.900536,31.185898,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203227/SmartEgypt_Restaurants/zjewqzkegbu0iuzelwc3.jpg,45,807
67,Zooba,Egyptian Street Food,Alexandria,Smouha,29.910469,31.217262,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203228/SmartEgypt_Restaurants/rbmschpa2wcxup7uv7wx.jpg,26,460
68,Chicken Fil-A,Fried Chicken,Alexandria,Smouha,29.92275,31.212951,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203229/SmartEgypt_Restaurants/uik1ljn9xmx5dafthq2o.jpg,15,177
69,The Lemon Tree,Mediterranean,Alexandria,Smouha,29.901244,31.183098,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203230/SmartEgypt_Restaurants/xej09wpodrwxtrvukl2s.jpg,280,2780
70,Chicken Fil-A,Fried Chicken,Alexandria,Sidi Gaber,29.902959,31.20669,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203230/SmartEgypt_Restaurants/qutjm5w297kpv2xtjcdb.jpg,15,177
71,Sizzler,Steakhouse,Alexandria,Sidi Gaber,29.906361,31.193255,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203231/SmartEgypt_Restaurants/g4mkz4v5rtfxssh2b5fr.jpg,60,800
72,Maison Thomas,Italian,Alexandria,Smouha,29.933117,31.217677,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203231/SmartEgypt_Restaurants/omtvqyca4dqqeacvmkmq.webp,47,740
73,Seoudi,Casual Dining,Alexandria,Stanley,29.911688,31.206045,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203232/SmartEgypt_Restaurants/gxky3rgooph0ior3et8q.jpg,20,1738
74,Abou Haidar,Sandwiches,Alexandria,Gleem,29.92017,31.20165,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203233/SmartEgypt_Restaurants/tu8kvtqoldz5z5pzcanb.jpg,10,330
75,Qahwa,Cafe,Alexandria,Sidi Gaber,29.908176,31.204159,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203234/SmartEgypt_Restaurants/t9b8dlsp9qj7tnqmjo0v.png,72,815
76,Beano's,Cafe,Alexandria,Montaza,29.913386,31.19115,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203234/SmartEgypt_Restaurants/qhs8bx8dguuwtbno35al.jpg,80,630
77,The Smokery,Fine Dining,Alexandria,Smouha,29.916483,31.192763,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203235/SmartEgypt_Restaurants/puxpp14k4qdhylx4hix4.jpg,310,3350
78,Mori Sushi,Asian Cuisine,Alexandria,Smouha,29.932563,31.198495,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203236/SmartEgypt_Restaurants/cwscdnvgduiziaqok2wx.jpg,42,1725
79,Buffalo Burger,Burgers,Alexandria,Montaza,29.930027,31.190597,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203237/SmartEgypt_Restaurants/aowvxbzg5n3v3seuniej.jpg,45,807
80,Wel3a,Grill,Alexandria,Montaza,29.910008,31.186322,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203237/SmartEgypt_Restaurants/qtfxhpupzc5kj50efqui.jpg,5,340
81,Koshary Hend,Koshary,Alexandria,Stanley,29.918839,31.183249,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203238/SmartEgypt_Restaurants/b89fy3pfrjmrxlnbqfkt.jpg,20,280
82,Sizzler,Steakhouse,Alexandria,Montaza,29.902456,31.2157,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203239/SmartEgypt_Restaurants/wehulrpisqceidj1y0n4.jpg,60,800
83,Gad,Egyptian Cuisine,Alexandria,Sidi Gaber,29.900228,31.212194,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203240/SmartEgypt_Restaurants/pmmju74t1jzjlhcltxmj.jpg,11,210
84,The Smokery,Fine Dining,Alexandria,Gleem,29.92397,31.180867,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203240/SmartEgypt_Restaurants/nekdx6zbqkmbfyocv2zw.jpg,310,3350
85,Gad,Egyptian Cuisine,Alexandria,Gleem,29.922898,31.185284,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203241/SmartEgypt_Restaurants/utkzwn9g4honeo0q2xmy.jpg,11,210
86,Le Pacha 1901,Fine Dining,Alexandria,Smouha,29.90682,31.204029,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203242/SmartEgypt_Restaurants/bw0ih0irzpogdi3cxodj.jpg,17,262
87,Crave,International,Alexandria,Stanley,29.899155,31.180429,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203243/SmartEgypt_Restaurants/chxbu50qk0jrczoejzec.jpg,61,1750
88,El Menoufy,Grill,Alexandria,Gleem,29.910891,31.217315,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203244/SmartEgypt_Restaurants/ax6p65pchd5zkgdg3mg5.jpg,25,5589
89,Butcher's Burger,Burgers,Alexandria,Smouha,29.938273,31.219483,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203244/SmartEgypt_Restaurants/z0cafllzfs5slmiu0bwp.jpg,40,450
90,Lucille’s,American Diner,Alexandria,Stanley,29.913946,31.194577,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203244/SmartEgypt_Restaurants/ju1zzwjcra8bzxa9kytt.jpg,45,832
91,Zooba,Egyptian Street Food,Alexandria,Smouha,29.923623,31.213035,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203245/SmartEgypt_Restaurants/uh7droujvjuuzz5dk7gt.jpg,26,460
92,Qahwa,Cafe,Alexandria,Smouha,29.932558,31.218699,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203246/SmartEgypt_Restaurants/yrwfwuicyrjrqcbyjzb9.png,72,815
93,Costa Coffee,Cafe,Alexandria,Smouha,29.929802,31.205086,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203246/SmartEgypt_Restaurants/wqtyw4wn31qfi7os4hfa.jpg,40,220
94,Mo Bistro,Steakhouse,Alexandria,Montaza,29.908741,31.182289,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203247/SmartEgypt_Restaurants/b0bopgkgswdgd8xsulmw.jpg,45,1550
95,Makani,Grill,Alexandria,Stanley,29.904105,31.206555,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203248/SmartEgypt_Restaurants/mndhwwyo1dlngtwifwaa.png,15,320
96,Maison Thomas,Italian,Alexandria,Montaza,29.899814,31.206855,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203249/SmartEgypt_Restaurants/insoma7x3kge7zercty5.webp,47,740
97,Gaby’s,European,Alexandria,Stanley,29.908739,31.181304,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203249/SmartEgypt_Restaurants/qkaqix2vjjs48ahbhtyb.jpg,45,1083
98,Maison de Curry,Indian,Alexandria,Stanley,29.927131,31.217751,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203251/SmartEgypt_Restaurants/nzyvllxnin1rcfzwy95d.jpg,699,1560
99,Indira,Asian Cuisine,Alexandria,Gleem,29.899702,31.199721,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203251/SmartEgypt_Restaurants/cpakcyv9ieqkrjiqafnr.jpg,115,3575
100,Mo Bistro,Steakhouse,Alexandria,Stanley,29.930091,31.20747,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203252/SmartEgypt_Restaurants/zau5hjrelj3g1ohtdy80.jpg,45,1550
101,Abou Haidar,Sandwiches,Alexandria,Montaza,29.913166,31.195931,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203252/SmartEgypt_Restaurants/eocsyevdpr6zxu9foe40.jpg,10,330
102,Indira,Asian Cuisine,Alexandria,Stanley,29.934159,31.212857,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203253/SmartEgypt_Restaurants/ofoss37suyeoqucfxrdy.jpg,115,3575
103,El Doksh,Seafood,Alexandria,Sidi Gaber,29.924612,31.217548,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203254/SmartEgypt_Restaurants/yvrem2jj2bg5vjymgslk.png,44,645
104,Pier 88,Seafood,Alexandria,Stanley,29.903251,31.19462,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203255/SmartEgypt_Restaurants/qsoaaixhxztpwasaighz.jpg,40,1000
105,Fuddruckers,Burgers,Alexandria,Smouha,29.908226,31.212467,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203256/SmartEgypt_Restaurants/ovyco58i93zr2npzdgxu.jpg,30,1020
106,Shawarma El Reem,Shawarma,Alexandria,Gleem,29.903266,31.217725,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203256/SmartEgypt_Restaurants/an6hwuhup3hbcsjsdjqg.jpg,20,615
107,Fish Market,Seafood,Alexandria,Sidi Gaber,29.908991,31.1807,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203257/SmartEgypt_Restaurants/wwmc348aipebqap4syps.png,15,435
108,Starbucks,Cafe,Alexandria,Gleem,29.90609,31.20517,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203258/SmartEgypt_Restaurants/fgb2lruivegdmxhtnnkf.jpg,20,1100
109,Tamara,Lebanese,Alexandria,Sidi Gaber,29.907117,31.189543,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203258/SmartEgypt_Restaurants/i35rohmbmcvt7bpt2beo.jpg,30,1650
110,Spectra,Casual Dining,Alexandria,Stanley,29.911299,31.180479,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203259/SmartEgypt_Restaurants/u7xm5sfaf6gatgxhuonm.jpg,80,1990
111,Gaby’s,European,Alexandria,Smouha,29.92545,31.182458,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203259/SmartEgypt_Restaurants/gqv89aq2nenvxkp7pmk4.jpg,45,1083
112,Paul,Bakery,Alexandria,Montaza,29.917166,31.192189,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203260/SmartEgypt_Restaurants/mxw0sekdt6lnlf3uho6h.jpg,39,1099
113,Koshary El Tahrir,Koshary,Alexandria,Sidi Gaber,29.927036,31.217565,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203261/SmartEgypt_Restaurants/cgtbv0hj972mefq36bqt.jpg,10,300
114,Seoudi,Casual Dining,Alexandria,Montaza,29.914079,31.213484,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203261/SmartEgypt_Restaurants/tnpja9wozguetmco3ncz.jpg,20,1738
115,Gad,Egyptian Cuisine,Alexandria,Smouha,29.90955,31.211197,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203262/SmartEgypt_Restaurants/mqtyiessxuw2f4bxdmi8.jpg,11,210
116,The Smokery,Fine Dining,Alexandria,Gleem,29.923867,31.219889,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203263/SmartEgypt_Restaurants/nsi3pavxpo0ogssybr6y.jpg,310,3350
117,El Menoufy,Grill,Alexandria,Stanley,29.905208,31.18434,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203263/SmartEgypt_Restaurants/zmzjziohq1r2cvgj7b8p.jpg,25,5589
118,Beano's,Cafe,Alexandria,Montaza,29.935019,31.188026,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203264/SmartEgypt_Restaurants/qeiorqzkqfvl9c6skye3.jpg,80,630
119,Abou Haidar,Sandwiches,Alexandria,Montaza,29.90814,31.20525,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203264/SmartEgypt_Restaurants/v4nymwsy1bymswpmqqk6.jpg,10,330
120,Cilantro,Cafe,Alexandria,Montaza,29.924236,31.198239,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203265/SmartEgypt_Restaurants/ipfbmgtrdeceyibgxok8.jpg,59,165
121,Starbucks,Cafe,Alexandria,Montaza,29.90031,31.201693,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203266/SmartEgypt_Restaurants/qkkzj53xykep152wfflu.jpg,20,1100
122,Peking,Asian Cuisine,Alexandria,Montaza,29.935328,31.181083,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203266/SmartEgypt_Restaurants/dzzdcxox25ne5lltxfmc.jpg,40,556
123,Gad,Egyptian Cuisine,Alexandria,Smouha,29.900928,31.190585,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203267/SmartEgypt_Restaurants/xuwtbxpqkokegawq29js.jpg,11,210
124,Cilantro,Cafe,Alexandria,Smouha,29.924059,31.183875,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203267/SmartEgypt_Restaurants/bjxskgm21p1y0pb9k2qb.jpg,59,165
125,The Smokery,Fine Dining,Alexandria,Montaza,29.933854,31.195429,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203268/SmartEgypt_Restaurants/v2ml45h4gfv3kq7uuzcf.jpg,310,3350
126,Kazouza,Egyptian Street Food,Alexandria,Montaza,29.911581,31.203287,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203269/SmartEgypt_Restaurants/dayjxtnugq6chrwuqbxe.jpg,17,280
127,Chicken Fil-A,Fried Chicken,Alexandria,Smouha,29.92753,31.200955,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203269/SmartEgypt_Restaurants/wneyodmuebdbofeghyr6.jpg,15,177
128,Zooba,Egyptian Street Food,Alexandria,Montaza,29.93003,31.215684,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203270/SmartEgypt_Restaurants/jpbvq9dkrk5orfgreqbz.jpg,26,460
129,30 North,Cafe,Alexandria,Smouha,29.927055,31.182141,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203270/SmartEgypt_Restaurants/udbmffm3k2p3mdt5kiow.jpg,60,1400
